Release-note,Review1,Review2,Review3,Review4,Review5,Review6,Review7,Review8,Review9,Review10
Release Note : This update also includes the following updates:,"many issues listed by others over the last year have not been fixed   
 (0.84)","been having new people stay over on random nights for years   
 (0.96)","cant log in after the update     
 (0.92)","thanks to warmshowernow i just can have friend from all around the worldi already hosting 4 person now   
 (0.91)","it doesnt load the map           
 (0.90)","app has vastly improved with the last update however with newly integrated openstreet maps it loads reaally slowly to the point its just barely usable so it really needs to be improved   
 (0.87)",,,,
Release Note : Google maps are replaced by OpenStreetMap,"app has vastly improved with the last update however with newly integrated openstreet maps it loads reaally slowly to the point its just barely usable so it really needs to be improved   
 (0.74)","it doesnt load the map           
 (0.88)",,,,,,,,
Release Note : Filter for users on the map,"it doesnt load the map           
 (0.80)",,,,,,,,,
Release Note : Data saver mode,,,,,,,,,,
Release Note : Option to remember the login password,"cannot get past the login page i enter user name and password and always get the failed to connect check your internet connection error   
 (0.81)","cannot log in no matter how many times i try have reset my password multiple times   
 (0.90)","authentication failed it used to work and now it doesnt let me login for no apparent reason which is a shame because i am currently on a bike tour please fix it warm showers people d    
 (0.90)","the login page has been fixed everythigs fine now    
 (0.88)","suddenly began experiencing same login problems others have authentication failed but prior to this i loved the app i find it much easier than the mobile version of the website to search for hosts etc hoping it will be fixed soon   
 (0.87)",,,,,
Release Note : Marker styling for favorite users,,,,,,,,,,
Release Note : Bug fixes,,,,,,,,,,
Release Note : This update also includes the following updates:,"many issues listed by others over the last year have not been fixed   
 (0.84)","been having new people stay over on random nights for years   
 (0.96)","cant log in after the update     
 (0.92)","thanks to warmshowernow i just can have friend from all around the worldi already hosting 4 person now   
 (0.91)","it doesnt load the map           
 (0.90)","app has vastly improved with the last update however with newly integrated openstreet maps it loads reaally slowly to the point its just barely usable so it really needs to be improved   
 (0.87)",,,,
Release Note : Google maps are replaced by OpenStreetMap,"app has vastly improved with the last update however with newly integrated openstreet maps it loads reaally slowly to the point its just barely usable so it really needs to be improved   
 (0.74)","it doesnt load the map           
 (0.88)",,,,,,,,
Release Note : Filter for users on the map,"it doesnt load the map           
 (0.80)",,,,,,,,,
Release Note : Data saver mode,,,,,,,,,,
Release Note : Option to remember the login password,"cannot get past the login page i enter user name and password and always get the failed to connect check your internet connection error   
 (0.81)","cannot log in no matter how many times i try have reset my password multiple times   
 (0.90)","authentication failed it used to work and now it doesnt let me login for no apparent reason which is a shame because i am currently on a bike tour please fix it warm showers people d    
 (0.90)","the login page has been fixed everythigs fine now    
 (0.88)","suddenly began experiencing same login problems others have authentication failed but prior to this i loved the app i find it much easier than the mobile version of the website to search for hosts etc hoping it will be fixed soon   
 (0.87)",,,,,
Release Note : Marker styling for favorite users,,,,,,,,,,
Release Note : Bug fixes,,,,,,,,,,
"Release Note : And last but not least, we introduced messaging into the app. Enjoy!","hey guys i cant send messages through the app   
 (0.83)","have been using this very useful app on my cross canada trek cant stand messaging limits which make it so difficult to keep track of conversations with hosts when i send a message i ask that hosts reply via email so i can keep track i naturally mix up names all the time which is why i find the limits so frustrating fix this and i will worship you like a god   
 (0.88)","this app was great for a little over a month then it suddenly stopped letting me log in all i ever get is authentication failed please reenter credentials i guess ill just log in through the internet as that works fine i tried deleting the app data and uninstalling reinstalling but the error persists if it werent for that error i would love the app but it is completely useless if i cant log in   
 (0.85)",,,,,,,
Release Note : Multiline message input.,,,,,,,,,,
Release Note : Fix navigation not reacting to clicks on some devices.,,,,,,,,,,
Release Note : Fix message being sent several times if the first attempt failed.,,,,,,,,,,
Release Note : Fix several crashes.,"crashes on startup               
 (0.83)","as title long loading the switch to other app then back crash   
 (0.89)","cant log in after the update     
 (0.88)","the login page has been fixed everythigs fine now    
 (0.87)",,,,,,
"Release Note : Finally, a new version! And there will be more updates in the future. Stay tuned.","many issues listed by others over the last year have not been fixed   
 (0.81)","been having new people stay over on random nights for years   
 (0.91)","thanks to warmshowernow i just can have friend from all around the worldi already hosting 4 person now   
 (0.87)","this is not even a simple copy of the website it is rather a very limited version of it you cant even read new messages in there but youll get redirected to their website which has one of the worst mobile layouts ive ever come across beta version would probably the best term to describe this app this is a shame because the concept itself is really nice   
 (0.87)","cant log in after the update     
 (0.86)",,,,,
Release Note : Fixes connection issues on older devices.,,,,,,,,,,
Release Note : Fixes missing feedback information when viewing users.,,,,,,,,,,
Release Note : Some more bugfixes.,"this is not even a simple copy of the website it is rather a very limited version of it you cant even read new messages in there but youll get redirected to their website which has one of the worst mobile layouts ive ever come across beta version would probably the best term to describe this app this is a shame because the concept itself is really nice   
 (0.81)",,,,,,,,,
Release Note : Complete visual redesign for Material Design. We hope you like it!,,,,,,,,,,
Release Note : Member profile pictures,,,,,,,,,,
Release Note : Direct feedback creation,,,,,,,,,,
Release Note : Directions to host via Google maps,"good app the map is a really nice feature however it should be possible to cache the hosts on the map once loaded internet is not always goodavailable and it would decrease the load on your servers check how ioverlander does it   
 (0.81)",,,,,,,,,
Release Note : Better behavior when no network and other bugfixes,,,,,,,,,,
"Release Note : German, French, Spanish supported","many issues listed by others over the last year have not been fixed   
 (0.82)","thanks to warmshowernow i just can have friend from all around the worldi already hosting 4 person now   
 (0.91)","been having new people stay over on random nights for years   
 (0.90)","my last host seemed fine with me his daughter in mexico got mad when he told her he was going to assist me while i decided to try to find work and a place for the winter anyways back to the issue at hand i did nothing wrong but decide to stop for the winter when i was offered a place for a bit maybe a week his daughter in mexico called the cops to his house that night to make sure he no hostage or something ws wont even listen to my side of what went on they dont care just banned me   
 (0.88)",,,,,,
Release Note : Member profile pictures,,,,,,,,,,
Release Note : Direct feedback creation,,,,,,,,,,
Release Note : Directions to host via Google maps,"good app the map is a really nice feature however it should be possible to cache the hosts on the map once loaded internet is not always goodavailable and it would decrease the load on your servers check how ioverlander does it   
 (0.81)",,,,,,,,,
Release Note : Better behavior when no network and other bugfixes,,,,,,,,,,
"Release Note : German, French, Spanish supported","many issues listed by others over the last year have not been fixed   
 (0.82)","thanks to warmshowernow i just can have friend from all around the worldi already hosting 4 person now   
 (0.91)","been having new people stay over on random nights for years   
 (0.90)","my last host seemed fine with me his daughter in mexico got mad when he told her he was going to assist me while i decided to try to find work and a place for the winter anyways back to the issue at hand i did nothing wrong but decide to stop for the winter when i was offered a place for a bit maybe a week his daughter in mexico called the cops to his house that night to make sure he no hostage or something ws wont even listen to my side of what went on they dont care just banned me   
 (0.88)",,,,,,
Release Note : Starred/Saved hosts can now be viewed on the map when offline!,"not working cannot find hosts or read messages after reinstall i cannot login the same as some user here   
 (0.83)","i am currently cycling through the americas i save hosts as favourites then when i access offline it can take up to 23 minutes to find the information that it should have saved previously online it frequently tells me there is no internet access despite being in a strong location very slow and frustrating to use what could potentially be a very good app   
 (0.89)","doesnt show any hosts on the map keeps saying failure due to not having an internet connection i have an internet connection i tried uninstalling the app and reinstalling but its he same story completely useless app   
 (0.88)","good app the map is a really nice feature however it should be possible to cache the hosts on the map once loaded internet is not always goodavailable and it would decrease the load on your servers check how ioverlander does it   
 (0.87)","i love warm showers but this app is wicked frustrating i have had to uninstall and reinstall it three times because it froze up and i couldnt do anything with it so i lose my starred hosts and have to set up the app again   
 (0.87)","connection issues every single time on galaxy s7 i have not been able to use the app at all please fix im running 151   
 (0.87)",,,,
"Release Note : Added ""Languages Spoken"" to host information",,,,,,,,,,
