Release-note,Review1,Review2,Review3,Review4,Review5,Review6,Review7,Review8,Review9,Review10
"Release Note : Wash your hands and stay safe, everyone.","it hangs all the time and that just sucks   
 (0.85)","the loading bar is neverending please help   
 (0.87)","does everything i need it to on the go   
 (0.86)","used to be good but now it often forgetswont accept my username and password then miraculously remembers them and works properly good on the rare occasions it works though   
 (0.86)","not great but not terrible just in the middle   
 (0.86)","the spacing on each line is too big and it makes your work look scattered its difficult to close the space this is an inconvenience   
 (0.86)","gets better with unknown account of when more recognizable of the now practice of to do so   
 (0.85)","does the basic job though        
 (0.85)",,
"Release Note : Wash your hands and stay safe, everyone.","it hangs all the time and that just sucks   
 (0.85)","the loading bar is neverending please help   
 (0.87)","does everything i need it to on the go   
 (0.86)","used to be good but now it often forgetswont accept my username and password then miraculously remembers them and works properly good on the rare occasions it works though   
 (0.86)","not great but not terrible just in the middle   
 (0.86)","the spacing on each line is too big and it makes your work look scattered its difficult to close the space this is an inconvenience   
 (0.86)","gets better with unknown account of when more recognizable of the now practice of to do so   
 (0.85)","does the basic job though        
 (0.85)",,
Release Note : Added image size options to the Gallery block.,"after the latest update the featured image tick box has disappeared how do you set them now using an lg g3   
 (0.85)","add the featured image option and it will become 5 stars great app didnt have any problems   
 (0.88)","need to be able to set a featured image like you can on the web   
 (0.87)","doesnt let me load any images the page goes away without me hitting any buttons   
 (0.87)","i can use it but there are too many places where the default and classic mode arent compatible its difficult to start a new paragraph after an image in classic mode   
 (0.86)","in the new version i cant chose if the image can be used as featured image or not or to appear in the post or not i wish i can revert back to the previous version id be better   
 (0.86)","when are we going to get the option to set featured image   
 (0.86)",,,
Release Note : - Updates: The option to remove a Jetpack site from the site picker has been disabled.,,,,,,,,,,
Release Note : Tweaking your Jetpack performance settings? Do it directly from the app!,"it worked great the best thing was it didnt require jetpack   
 (0.82)",,,,,,,,,
Release Note : Tweaking your Jetpack performance settings? Do it directly from the app!,"it worked great the best thing was it didnt require jetpack   
 (0.82)",,,,,,,,,
Release Note : Customers with unclaimed domain credits can register domains in the app.,,,,,,,,,,
Release Note : Customers with unclaimed domain credits can register domains in the app.,,,,,,,,,,
Release Note : Business plan customers can register a custom domain when installing a plugin.,"i want to be able to see the plugins too i have an seo plugin which allows me to make changes at the bottom of the post the app doesnt support it   
 (0.83)",,,,,,,,,
Release Note : Business plan customers can register a custom domain when installing a plugin.,"i want to be able to see the plugins too i have an seo plugin which allows me to make changes at the bottom of the post the app doesnt support it   
 (0.83)",,,,,,,,,
Release Note : Navigating notifications: now you can swipe between tabs.,"whats with the new update the reader and notification tabs are gone the stats never open please fix this   
 (0.85)","rubbish my notifications are disappearing and i cant open the ones i see whats going on   
 (0.90)","notifications are broken most of the time they point to the wrong ones very frustrating   
 (0.88)","very slow to load tabs and switch between my site reader and settings sometimes it just fails to respond and stays where it is all this on a good internet connection that loads everything well in another web browser app it ultimately just refused to let me go back to view site please fix reverted to v40 which doesnt look as nice but does the work   
 (0.88)","everytime i visit my blog through this app the notification panel just occupies the threefourths of the screen and there is no way to remove it because everytime i tap it what is clicked is the blog underneath   
 (0.86)","the interface is nice and neat but its crap first click on previous post displays the post post cannot be edited afterwards all buttons become non responsive   
 (0.86)","when i try to open the notifications screen it just goes blank needs to be fixed   
 (0.86)","i rely very heavily on this app to keep me posted about notifications because for some reason the website doesnt do it as quickly on neither my laptop nor my desktop but of late ive noticed there have been glitches in the app too like gravatars of other bloggers get mixed up i get a notification on my lock screen that ive received a like or comment l but when i open the app it doesnt show me the latest notification there are other too please fix these issues   
 (0.85)",,
Release Note : Navigating notifications: now you can swipe between tabs.,"whats with the new update the reader and notification tabs are gone the stats never open please fix this   
 (0.85)","rubbish my notifications are disappearing and i cant open the ones i see whats going on   
 (0.90)","notifications are broken most of the time they point to the wrong ones very frustrating   
 (0.88)","very slow to load tabs and switch between my site reader and settings sometimes it just fails to respond and stays where it is all this on a good internet connection that loads everything well in another web browser app it ultimately just refused to let me go back to view site please fix reverted to v40 which doesnt look as nice but does the work   
 (0.88)","everytime i visit my blog through this app the notification panel just occupies the threefourths of the screen and there is no way to remove it because everytime i tap it what is clicked is the blog underneath   
 (0.86)","the interface is nice and neat but its crap first click on previous post displays the post post cannot be edited afterwards all buttons become non responsive   
 (0.86)","when i try to open the notifications screen it just goes blank needs to be fixed   
 (0.86)","i rely very heavily on this app to keep me posted about notifications because for some reason the website doesnt do it as quickly on neither my laptop nor my desktop but of late ive noticed there have been glitches in the app too like gravatars of other bloggers get mixed up i get a notification on my lock screen that ive received a like or comment l but when i open the app it doesnt show me the latest notification there are other too please fix these issues   
 (0.85)",,
Release Note : Updated the notification screen’s design.,"when i try to open the notifications screen it just goes blank needs to be fixed   
 (0.84)","notifications are broken most of the time they point to the wrong ones very frustrating   
 (0.91)","rubbish my notifications are disappearing and i cant open the ones i see whats going on   
 (0.86)","i hardly get the complete notifications these days my follower count is stuck on a particular number since two days even when it is increasing at a rapid rate the app doesnt show complete notifications and its extremely annoying   
 (0.85)",,,,,,
Release Note : Updated the notification screen’s design.,"when i try to open the notifications screen it just goes blank needs to be fixed   
 (0.84)","notifications are broken most of the time they point to the wrong ones very frustrating   
 (0.91)","rubbish my notifications are disappearing and i cant open the ones i see whats going on   
 (0.86)","i hardly get the complete notifications these days my follower count is stuck on a particular number since two days even when it is increasing at a rapid rate the app doesnt show complete notifications and its extremely annoying   
 (0.85)",,,,,,
Release Note : Updated the notification screen’s design.,"when i try to open the notifications screen it just goes blank needs to be fixed   
 (0.84)","notifications are broken most of the time they point to the wrong ones very frustrating   
 (0.91)","rubbish my notifications are disappearing and i cant open the ones i see whats going on   
 (0.86)","i hardly get the complete notifications these days my follower count is stuck on a particular number since two days even when it is increasing at a rapid rate the app doesnt show complete notifications and its extremely annoying   
 (0.85)",,,,,,
Release Note : Improved Quick Start design and flows.,"everything working well so far after a shaky start due to user error   
 (0.84)",,,,,,,,,
Release Note : Added a date selector to switch time periods in Stats.,"the ability to change post dates to prior day is gone   
 (0.84)","the stat counts for week and month only show one day of stats and not the cumulative of the week or month please fix   
 (0.90)","the stats no longer show the top pages of the current day   
 (0.86)","the new stats view is broken showing the wrong results not honouring the day selected when viewing more data and always defaulting to insights when days selected please roll back to old behaviour   
 (0.86)","new stats interface not consistent by date between views example clicking on view more rarely expands the list of visitor viewed posts for a given date instead it switches dates and the list changes to the one for the different date expanded list of first dates stats accessed remains inaccessible   
 (0.85)",,,,,
Release Note : Unused location permissions have been removed.,"why the heck do you need coarse and precise location information as well as a permission for taking pictures i dont see the need for that and until you change it your app will remain uninstalled from my device   
 (0.81)",,,,,,,,,
Release Note : Improved Quick Start design and flows.,"everything working well so far after a shaky start due to user error   
 (0.84)",,,,,,,,,
Release Note : Added a date selector to switch time periods in Stats.,"the ability to change post dates to prior day is gone   
 (0.84)","the stat counts for week and month only show one day of stats and not the cumulative of the week or month please fix   
 (0.90)","the stats no longer show the top pages of the current day   
 (0.86)","the new stats view is broken showing the wrong results not honouring the day selected when viewing more data and always defaulting to insights when days selected please roll back to old behaviour   
 (0.86)","new stats interface not consistent by date between views example clicking on view more rarely expands the list of visitor viewed posts for a given date instead it switches dates and the list changes to the one for the different date expanded list of first dates stats accessed remains inaccessible   
 (0.85)",,,,,
Release Note : Unused location permissions have been removed.,"why the heck do you need coarse and precise location information as well as a permission for taking pictures i dont see the need for that and until you change it your app will remain uninstalled from my device   
 (0.81)",,,,,,,,,
Release Note : Refreshed Pages list layout that includes a timestamp and a featured image thumbnail.,"pages could not be refreshed at this time so yeah doesnt let me see or edit the pages of my site   
 (0.84)","doesnt refresh any pages         
 (0.90)","pages wouldnt loadrefreshing doesnt helpkeeps telling me i have no pages technically most of the features are not functioning   
 (0.86)","one star because the stats pages dont show any content any more since the last update plus because stats pages have been divided among several pages   
 (0.85)","why arent the pages loading on the handset as well as on the computer   
 (0.85)",,,,,
Release Note : Refreshed Pages list layout that includes a timestamp and a featured image thumbnail.,"pages could not be refreshed at this time so yeah doesnt let me see or edit the pages of my site   
 (0.84)","doesnt refresh any pages         
 (0.90)","pages wouldnt loadrefreshing doesnt helpkeeps telling me i have no pages technically most of the features are not functioning   
 (0.86)","one star because the stats pages dont show any content any more since the last update plus because stats pages have been divided among several pages   
 (0.85)","why arent the pages loading on the handset as well as on the computer   
 (0.85)",,,,,
Release Note : New privacy settings let you remove of geolocation from uploaded images.,"the mobile phone doesnt have the cover image feature i can only upload normal images leaving the home of my blog with out any image   
 (0.84)","not able to upload images and not able to add website what the hell this app does    
 (0.86)","1 its missing a search field 2 no multi select and upload of multiple images from a single folder its either messy all together or one by one 3 i lost the whole text and images of a new post because of an internet connection error this should not happen no matter how bad the connection is offline editing is what users expect from an application vs the webadmin 4 post settings button is hidden when keyboard is open 5 cant edit site url 6 cant batch upload local charges   
 (0.86)","lots of problems while uploading images   
 (0.85)","loooove this app but i cant upload photos most of the time and have to open my browser    
 (0.85)",,,,,
Release Note : Better messaging when there is no data to show in the stats screen adds clarity.,"as everyone has said the stats pages are all messed up everything is stated as 0 when i know that its not the case i can see my stats from a regular web browser but not through the app fix this please   
 (0.85)","the screens dont sync its messy   
 (0.88)","the previous update messed up the stats page and this new update fixed it perfect   
 (0.88)","whats with the new update the reader and notification tabs are gone the stats never open please fix this   
 (0.87)","some really messy bugs major login issues minor freezescrashes but most importantly its continuesly syncing with the net and slows the mobile phone   
 (0.87)","notifications are broken most of the time they point to the wrong ones very frustrating   
 (0.86)","rubbish my notifications are disappearing and i cant open the ones i see whats going on   
 (0.86)","last update is step back why do you keep messing with the app all the time   
 (0.85)",,
Release Note : New privacy settings let you remove of geolocation from uploaded images.,"the mobile phone doesnt have the cover image feature i can only upload normal images leaving the home of my blog with out any image   
 (0.84)","not able to upload images and not able to add website what the hell this app does    
 (0.86)","1 its missing a search field 2 no multi select and upload of multiple images from a single folder its either messy all together or one by one 3 i lost the whole text and images of a new post because of an internet connection error this should not happen no matter how bad the connection is offline editing is what users expect from an application vs the webadmin 4 post settings button is hidden when keyboard is open 5 cant edit site url 6 cant batch upload local charges   
 (0.86)","lots of problems while uploading images   
 (0.85)","loooove this app but i cant upload photos most of the time and have to open my browser    
 (0.85)",,,,,
Release Note : Better messaging when there is no data to show in the stats screen adds clarity.,"as everyone has said the stats pages are all messed up everything is stated as 0 when i know that its not the case i can see my stats from a regular web browser but not through the app fix this please   
 (0.85)","the screens dont sync its messy   
 (0.88)","the previous update messed up the stats page and this new update fixed it perfect   
 (0.88)","whats with the new update the reader and notification tabs are gone the stats never open please fix this   
 (0.87)","some really messy bugs major login issues minor freezescrashes but most importantly its continuesly syncing with the net and slows the mobile phone   
 (0.87)","notifications are broken most of the time they point to the wrong ones very frustrating   
 (0.86)","rubbish my notifications are disappearing and i cant open the ones i see whats going on   
 (0.86)","last update is step back why do you keep messing with the app all the time   
 (0.85)",,
Release Note : The media library now displays the space you’ve used.,"the app refreshes the media library way too much and refreshes the category list every time you open it developers dont seem to be listening no refreshing of anything automatically please   
 (0.84)","the latest version layout is cool and user friendlyhavent try to upload media thoughwell i write much rather than uploading mediahowever i hope it works   
 (0.88)","i like the ui and ease of use my issue is with uploading media i have failed to upload media numerous times   
 (0.88)","i cant add photos from my device to the media library kindly fix this   
 (0.86)","where in the world will you find the best free software that will give you your place in virtual space in a wordwordpress   
 (0.86)","best everno rival but why cant we add audio or video other than images alone and gif pls add audio or video feature   
 (0.85)",,,,
Release Note : Broke out the fly swatter and got rid of some bugs.,"works fairly well on the droid   
 (0.85)","crashes 100 of the time at startup   
 (0.87)","its been crashing for more than a month and non of the recent updates have helped to solve the issue   
 (0.86)","this platform is disappointing and unreliable everything hangs up its basic functions sucks its way overated ive seen better prior to the internet   
 (0.86)","it hangs all the time and that just sucks   
 (0.85)","your last update broke the stats page it crashes after about 1 second please fix it   
 (0.85)","crashes all the time             
 (0.85)","crashes all the time             
 (0.85)",,
Release Note : Broke out the fly swatter and got rid of some bugs.,"works fairly well on the droid   
 (0.85)","crashes 100 of the time at startup   
 (0.87)","its been crashing for more than a month and non of the recent updates have helped to solve the issue   
 (0.86)","this platform is disappointing and unreliable everything hangs up its basic functions sucks its way overated ive seen better prior to the internet   
 (0.86)","it hangs all the time and that just sucks   
 (0.85)","your last update broke the stats page it crashes after about 1 second please fix it   
 (0.85)","crashes all the time             
 (0.85)","crashes all the time             
 (0.85)",,
Release Note : Broke out the fly swatter and got rid of some bugs.,"works fairly well on the droid   
 (0.85)","crashes 100 of the time at startup   
 (0.87)","its been crashing for more than a month and non of the recent updates have helped to solve the issue   
 (0.86)","this platform is disappointing and unreliable everything hangs up its basic functions sucks its way overated ive seen better prior to the internet   
 (0.86)","it hangs all the time and that just sucks   
 (0.85)","your last update broke the stats page it crashes after about 1 second please fix it   
 (0.85)","crashes all the time             
 (0.85)","crashes all the time             
 (0.85)",,
"Release Note : We streamlined Jetpack installation so it has fewer steps. Less setting up, more using!","it doesnt install jetpack        
 (0.80)","please allow to login without jetpacki dont want to install site slower jetpack thing   
 (0.88)","app works just fine with only wp associated dedicated plugins like jetpack why is there no support for other plugins like yoast seo or any seo used for onpage optimization   
 (0.88)",,,,,,,
"Release Note : We streamlined Jetpack installation so it has fewer steps. Less setting up, more using!","it doesnt install jetpack        
 (0.80)","please allow to login without jetpacki dont want to install site slower jetpack thing   
 (0.88)","app works just fine with only wp associated dedicated plugins like jetpack why is there no support for other plugins like yoast seo or any seo used for onpage optimization   
 (0.88)",,,,,,,
"Release Note : We streamlined Jetpack installation so it has fewer steps. Less setting up, more using!","it doesnt install jetpack        
 (0.80)","please allow to login without jetpacki dont want to install site slower jetpack thing   
 (0.88)","app works just fine with only wp associated dedicated plugins like jetpack why is there no support for other plugins like yoast seo or any seo used for onpage optimization   
 (0.88)",,,,,,,
Release Note : Improvements in support for some locales.,"i have not used it long but seem good however can ww please please get a dark mode on this and the main site   
 (0.84)","its nice obviously cant do all you can on the site but wish it had more accessibility   
 (0.86)","it is very limiting and is missing a lot of features   
 (0.86)","gets better with unknown account of when more recognizable of the now practice of to do so   
 (0.85)","this new version is much worse than the previous one the stats section is now useless   
 (0.85)",,,,,
Release Note : Improvements in support for some locales.,"i have not used it long but seem good however can ww please please get a dark mode on this and the main site   
 (0.84)","its nice obviously cant do all you can on the site but wish it had more accessibility   
 (0.86)","it is very limiting and is missing a lot of features   
 (0.86)","gets better with unknown account of when more recognizable of the now practice of to do so   
 (0.85)","this new version is much worse than the previous one the stats section is now useless   
 (0.85)",,,,,
Release Note : Notifications: Pingback moderation and comments management has been improved.,"it takes ages to load notifications also doesnt link facebook comments on the post into blog too slow to load   
 (0.84)","when moderating comments this app doesnt reliably sync with changes made on other clients such as the web interface it has a list of pending comments that i flagged as spam and deleted a long time ago   
 (0.87)",,,,,,,,
Release Note : New feature: Create an account with signup while connecting Jetpack.,"no way to sign off that renders the entire app worthless uninstalling it    
 (0.84)","wont even let me successfully create the account havent got a confirmation email havent got an error mesage wtf   
 (0.86)",,,,,,,,
Release Note : Fixed AMP links so they can be opened in the app.,,,,,,,,,,
Release Note : Fixed AMP links so they can be opened in the app.,,,,,,,,,,
"Release Note : Added support for Talkback and Switch Access, along with many other accessibility improvements.",,,,,,,,,,
Release Note : Now the Media Browser’s search functionality returns results based on the selected type of content.,,,,,,,,,,
"Release Note : Added support for Talkback and Switch Access, along with many other accessibility improvements.",,,,,,,,,,
Release Note : Now the Media Browser’s search functionality returns results based on the selected type of content.,,,,,,,,,,
Release Note : New confirmation dialogue to prevent unwanted post deletion.,,,,,,,,,,
Release Note : New: Jetpack speedup settings now available in Site Settings.,"would like to see this implemented without the jetpack plugin   
 (0.85)","cant even post an article as the article keeps on scheduling even after pressing publish now im so irritated with this app right now   
 (0.88)","please allow to login without jetpacki dont want to install site slower jetpack thing   
 (0.87)","it worked great the best thing was it didnt require jetpack   
 (0.86)","latest update all settings gone forces me to log in to jetpack wont show me selfhosted sites already set up wont let me set them up again now completely useless   
 (0.86)","very slow application cant get any good hint how to follow my kind of people disappointed    
 (0.85)",,,,
Release Note : New: Jetpack speedup settings now available in Site Settings.,"would like to see this implemented without the jetpack plugin   
 (0.85)","cant even post an article as the article keeps on scheduling even after pressing publish now im so irritated with this app right now   
 (0.88)","please allow to login without jetpacki dont want to install site slower jetpack thing   
 (0.87)","it worked great the best thing was it didnt require jetpack   
 (0.86)","latest update all settings gone forces me to log in to jetpack wont show me selfhosted sites already set up wont let me set them up again now completely useless   
 (0.86)","very slow application cant get any good hint how to follow my kind of people disappointed    
 (0.85)",,,,
Release Note : New: Jetpack speedup settings now available in Site Settings.,"would like to see this implemented without the jetpack plugin   
 (0.85)","cant even post an article as the article keeps on scheduling even after pressing publish now im so irritated with this app right now   
 (0.88)","please allow to login without jetpacki dont want to install site slower jetpack thing   
 (0.87)","it worked great the best thing was it didnt require jetpack   
 (0.86)","latest update all settings gone forces me to log in to jetpack wont show me selfhosted sites already set up wont let me set them up again now completely useless   
 (0.86)","very slow application cant get any good hint how to follow my kind of people disappointed    
 (0.85)",,,,
Release Note : New screens to setup and connect Jetpack.,,,,,,,,,,
Release Note : New screens to setup and connect Jetpack.,,,,,,,,,,
Release Note : Redesign of the Plugin Detail view.,"i want to use plugins like visual composer slider revolution etc   
 (0.84)","please workout on the plug ins i cant edit anything from the visual editor page builder which how i build my site from   
 (0.88)","i tried adding the widget and nothing appears pointless   
 (0.87)","does anyone know how to enable the visual editor instead of using html   
 (0.87)","good for adding minor updates etc wondering if there will ever be any compatibility with drag and drop page builder plugins like siteorigin   
 (0.86)","the old 4x1 widget was beautiful the new ones are hideous i can see if you want to add new widgets but why take away the nice ones   
 (0.86)",,,,
Release Note : Redesign of the Plugin Detail view.,"i want to use plugins like visual composer slider revolution etc   
 (0.84)","please workout on the plug ins i cant edit anything from the visual editor page builder which how i build my site from   
 (0.88)","i tried adding the widget and nothing appears pointless   
 (0.87)","does anyone know how to enable the visual editor instead of using html   
 (0.87)","good for adding minor updates etc wondering if there will ever be any compatibility with drag and drop page builder plugins like siteorigin   
 (0.86)","the old 4x1 widget was beautiful the new ones are hideous i can see if you want to add new widgets but why take away the nice ones   
 (0.86)",,,,
Release Note : Better handling of themes for Jetpack sites.,"it doesnt auto add your jetpack websites you have to manually add them into the list even though when you get a notice about that site you can access the info with that alert without adding the site not a very well thought out app   
 (0.80)",,,,,,,,,
Release Note : Updated design of the Me screen and remove the tooltip for updating the avatar.,,,,,,,,,,
Release Note : Fix a crash on media settings happening on Asus devices.,"attaching media crashes the app on my dell streak   
 (0.83)","stats wont refresh connection error messages wont load media uninstalled and downloaded 3 times but no change so disappointed i could do with a wp app while on the move   
 (0.88)","media could not be refreshed still and now i cant paste not using swiftkey not using the default samsung keyboard wp used to be great but it seems like every update makes it worse not better i dont need new features i need an app that has its basic functionality   
 (0.85)",,,,,,,
